resort_no,resort_name,atoll,atoll_code,island,rooms,beds,phone,fax,email,resort_phone,resort_fax,resort_email,operator,owner_lessee,management,state,status,join_candidates,coordinates,coordinate_count,source
11,Anantara Veli and Naladhu,Kaafu,K,Veligan'du Huraa,88.0,176.0,7797779,,shahdy@sandalawyers.com,6644111,,velimaldives@anantara.com / stay@naladhu.com,"SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","Minor Hotel Group (Maldives) Pvt Ltd 
Anantara Kihavah Villas
B. Kihavah Huravalhi
Republic of Maldives",Operating,Operating,Veligan'du Huraa,[],0,resorts.csv
12,Angaga Island Resort and Spa,Alifu Dhaalu,ADh,Angaga,90.0,180.0,331 3523,331 3522,info@happymarket.com.mv,6680510,6680510,angaga@dhivehinet.net.mv,"Angiri Resorts Management and Operations Pvt Ltd
M.New Plot, 2nd Floor 
Ameenee Magu
Male', Republic of Maldives","Angiri Resorts Management and Operations Pvt Ltd 
M.New Plot, 2nd Floor 
Ameenee Magu
Male', Republic of Maldives",,Operating,Operating,Angaga,[],0,resorts.csv
13,Angsana Resort & Spa Maldives - Velavaru,Dhaalu,Dh,Velavaru,119.0,238.0,"3304087
6760028","3304660
6760029",velavaru@angsana.com,676 0028,676 0028,reservations-velavaru@angsana.com,"Maldives Bay Pvt Ltd
M. Gulfaamuge, 4th Floor, 
Fareedhee Magu, 
Male', Republic of Maldives","Sancturay Sands Maldives Pvt. Ltd
H. Aage, 6th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives",-,Operating,Operating,Velavaru,[],0,resorts.csv
14,Atmosphere Kanifushi Maldives,Lhaviyani,Lh,Kanifushi,190.0,380.0,3006554,3006557,info@kanifushi.com.mv,3339992,,sales@atmosphere-kanifushi.com,"Kanifushi Investment Pvt. Ltd
M. Rowville, 5th Floor
Fareedhee Magu
Male, Rep of Maldives","Kanifushi Investment Pvt. Ltd.
M. Rowville, 5th Floor
Fareedhee Magu
Male, Rep of Maldives","Atmosphere Kani Resort Pvt. Ltd
Aage, 02nd Floor
12 Boduthakurufaanu Magu
Male', Rep of Maldives",Operating,Operating,Kanifushi,[],0,resorts.csv
15,Avani + Fares Maldives,Baa,B,Fares,210.0,420.0,7773152,,zayan@salihshihab.co,6601660,6601660,reservations.fares@avanihotels.com,"Plexus Maldives Private Limited
H. The Cyprea, Boduthakurufaanu Magu, Male', Republic of Maldives","Plexus Maldives Private Limited
H. The Cyprea, Boduthakurufaanu Magu, Male', Republic of Maldives","Minor Hotel Group (Maldives) Private Limited 
Anantara Kihavah Villas,
Kihavah Huravalhi, Baa Atoll,
Republic of Maldives",Operating,Operating,Fares,[],0,resorts.csv
16,Ayada Maldives,Gaafu Dhaalu,GDh,Magudhdhuvaa,100.0,200.0,"7303055
745 8336
6844444","330 3003
3303009
6845555","info@ayadamaldives.com / 
aminath.hana@lily-international.com",684 4444,444 6 200,info@ayadamaldives.com,"Ahmet Aydeniz Maldives Pvt. Ltd 
H. Aagadhage, 4th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Maldives Tourism Development and Corporation 
G. Fathuruvehi, 1st Floor
Buruzu Magu 20124
Male', Republic of Maldives",,Operating,Operating,Magudhdhuvaa,[],0,resorts.csv
17,Baglioni Resort Maldives,Dhaalu,Dh,Maagau,101.0,206.0,9802222,,m.suri@baglionihotels.com,4000600,4000600,reservations.maldives@baglionihotels.com,"Baglioni Maldives Pvt Ltd 
H. Hulhugali, 1st Floor, South Wing, 
Kalhuhuraa Magu, 
Male', Republic of Maldives","New Mood Resorts Pvt Ltd 
M. Faamudheyrige, 6th Floor Unit A, Orchid Magu, 
Male', Republic of Maldives",-,Operating,Operating,Maagau,[],0,resorts.csv
18,Bandos Maldives,Kaafu,K,Bandos,220.0,440.0,6640088,6643877,info@bandos.com.mv,6640088,6640088,sales@bandos.com.mv,"Orchid Holdings Private Limited
H. Deens Villa, 
Meheli Goalhi, 
Male', Republic of Maldives","Mohamed Waheed Deen
H. Deens Villa
Meheli Goalhi
Male', Republic of Maldives",-,Operating,Operating,Bandos,[],0,resorts.csv
19,Banyan Tree Maldives Vabbinfaru,Kaafu,K,Vabbinfaru,48.0,96.0,"(65)8495888
6643147","(65)4620186
6643147",mohamed.naeem@banyantree.com,960 664 3147,,reservations-vabbinfaru@banyantree.com,"Vabbinvest Maldives Pvt. Ltd, 
 K. Vabbinfaru 
 c/o 211 Upper Bukit Timah Road
 Singapore 588182","Vabbinvest Maldives Pvt. Ltd, 
K. Vabbinfaru 
 c/o 211 Upper Bukit Timah Road
 Singapore 588182",Banyan Tree Resorts Ltd,Operating,Operating,Vabbinfaru,[],0,resorts.csv
20,Baros Maldives,Kaafu,K,Baros,75.0,150.0,"3323080
6642672","3320274
3322678",info@baros.com; sales@unient.com.mv,664 26 72,664 26 72,reservations@baros.com,"Universal Enterprises Pvt Ltd
M. No. 39, Orchid Magu
Male', Republic of Maldives","Universal Enterprises Pvt Ltd
M. No. 39, Orchid Magu
Male', Republic of Maldives",-,Operating,Operating,Baros,[],0,resorts.csv
21,Bolifushi Island Resort,Kaafu,K,Bolifushi,114.0,228.0,7964481 / 3339992 / 3317526,,muaz@alephpropertiesltd.com,6642020 / 7937070,6642020 / 7937070,reservations@ozenreserve-bolifushi.com,"Alpha Property (BVI)Limited 
Mill Mall, Suite 6
Wickhams Cay1, P.O. Box 3085, British Virgin Islands","Gateway Maldives Pvt. Ltd 
H. Mirihi 
Abadhah Ufaa Magu
Male', Republic of Maldives","Atmosphere Core (BVI) Ltd 
03rd Floor, H. Aage 
12, Boduthakurufaanu Magu
Male', Republic of Maldives
www.ozenreserve-bolifushi.com",Operating,Operating,Bolifushi,[],0,resorts.csv
22,Brennia Kottefaru,Raa,R,Kottefaru,145.0,290.0,4002022,,info@brennia.com,4002022,,info@brennia.com,"Brennia Maldives Pvt Ltd 
G. Gevadige
Faashanaakilege Magu 
Male', Republic of Maldives","ABN Pvt Ltd 
M. Uniya Building 
Fareedhee Magu 
Male', Republic of Maldives","Brennia Maldives Pvt Ltd 
G. Gevadige
Faashanaakilege Magu 
Male', Republic of Maldives",Operating,Operating,Kottefaru,[],0,resorts.csv
23,Canareef Resort Maldives,Seenu,S,Herethere,271.0,542.0,689-6677,689-3377,"info@canareef.com

Website: https://canareef.com/",689-6677 / 689-3377,-,info@canareef.com,"Canaries Resorts Maldives Pvt Ltd
M. Marina Building, 5th floor
Koli Umar Manik Goalhi 
Male’, Republic of Maldives","Canaries Pte. Ltd. 
63 UBI Avenue 1 #06-01, 
Singapore 408937",-,Operating,Operating,Herethere,[],0,resorts.csv
24,Centara Mirage Lagoon Maldives & Centara Grand Lagoon Maldives,Kaafu,K,4°19’0.85”N73°20’43.59”E,416.0,832.0,,,,4015555,4015555,cmlm@chr.co.th,"Lagoon Assets Private Limited 
H. Shah, Hussain & Co. Barristers and Attorneys, 6th Floor, Aage,Boduthakurufaanu Magu, 
Male', Republic of Maldives","Lagoon Assets Private Limited
H. Shah, Hussain & Co. Barristers and Attorneys, 6th Floor, Aage,Boduthakurufaanu Magu, 
Male', Republic of Maldives",-,Operating,Operating,,[],0,resorts.csv
25,Centara Ras Fushi Resort & Spa,Kaafu,K,Giraavaru,140.0,280.0,3306566,3309796,sales@chr.co.th; crf@chr.co.th,664 3880,664 3880,crf@chr.co.th,"Centara Maldives Pvt. Ltd. 
C/O. SHAH, HUSSAIN & CO. Barristers and Attorneys, 
H. Aage, 6th Floor,
Boduthakurufaanu Magu, Male', Republic of Maldives","Legal Heirs of Late Mr. Abdul Rauf, M. Snow Rose, Male', Republic of Maldives:

1. Aishath Shareef 
G. Summer Rose, Male', Republic of Maldives
2. Aminath Rifna
G. Nasru Villa, Male', Republic of Maldives
3. Fathimath Anoosha 
M. Snow Rose, Male', Republic of Maldives
4. Aminath Faghiya
M. Snow Rose, Male', Republic of Maldives
5. Aishath Zeeliya 
M. Snow Rose, Male', Republic of Maldives
6. Hussain Shahee
M. Snow Rose, Male', Republic of Maldives
7. Mariyam Leeshiya 
M. Snow Rose, Male', Republic of Maldives
8. Ahmed Affan Abdul Rauf 
Dew Berry, Male', Republic of Maldives
9. Luyuna Abdul Rauf 
Dew Berry, Male', Republic of Maldives",-,Operating,Operating,Giraavaru,[],0,resorts.csv
26,Cheval Blanc Randheli,Noonu,N,Randheli,60.0,120.0,330 5590,331 5590,info@int.com.mv,656 1515,656 1515,info.randheli@chevalblanc.com,"I & T Management Pvt Ltd 
H. Bonthi Villa, Level 2, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","I & T Management Pvt Ltd 
H. Bonthi Villa, Level 2, 
Ameer Ahmed Magu, 
Male', Republic of Maldives",,Operating,Operating,Randheli,[],0,resorts.csv
27,Cinnamon Dhonveli Maldives,Kaafu,K,Kanuoiy Huraa,148.0,296.0,"3326219
3313738",3326264,jkmr@keells.com.mv,6640055,6640055,dhonveli@cinnamonhotels.com,"Tranquility Pvt Ltd 
G. Kelam 4th Floor, 
Hithaffinivaa Magu, 
Male', Republic of Maldives","Tranquility Pvt Ltd
G. Kelam 4th Floor, 
 Magu, 
Male', Republic of Maldives","Sublessee:
John Keells Maldivian Resorts Pvt Ltd 
Address: G. Kelam 4th Floor,
Hithaffinivaa Magu, 
Male', Republic of Maldives",Operating,Operating,Kanuoiy Huraa,[],0,resorts.csv
28,Cinnamon Hakuraa Huraa Maldives,Meemu,M,Hakuraahuraa,100.0,200.0,"3313738
3332867",3326264,manager@maleoffice.com.mv,672-6000,672-6000,hakura@cinnamonhotels.com / resorts@cinnamonhotels.com,"Fantasea World Investments Pvt. Ltd.
G. Kelam 4th Floor, 
Hithaffinivaa Magu, 
Male', Republic of Maldives","Fantasea World Investments Pvt. Ltd.
G. Kelam 4th Floor, 
Hithaffinivaa Magu, 
Male', Republic of Maldives",-,Operating,Operating,Hakuraahuraa,[],0,resorts.csv
29,Cinnamon Velifushi Maldives,Vaavu,V,Aarah,90.0,180.0,3336000,3326264,velifushi@cinnamonhotels.com,6706000,6706000,manager@maleoffice.com.mv,"Tranquility Pvt. Ltd. 
2nd Floor H. Maizan, Sosun Magu
Male', Republic of Maldives","Aaarah Investment Pvt Ltd 
M. Omadu Fannu (2nd Floor)
Male', Republic of Maldives",,Operating,Operating,Aarah,[],0,resorts.csv
30,Club Med Finolhu Villas,Kaafu,K,Gasfinolhu,52.0,104.0,"3314149
6642078","3314150
6645941",kanvcrec01@clubmed.com,660 8800,660 8800,kanvcrec01@clubmed.com,"Maldivian Holiday Villages Private Ltd
Club Med Kanifinolhu, 
Kaafu Atoll, 
PO Box 2051, 
Male', Republic of Maldives","Global Pvt Ltd
Champa Building, 3rd Floor
Kandi Dhon Manik Goalhi
Male', Rep.. of Maldives",-,Operating,Operating,Gasfinolhu,[],0,resorts.csv
31,Club Med Kanifinolhu,Kaafu,K,Kanifinolhu,272.0,544.0,332 2451,332 3523,info@cyprea.com.mv,6644859 / 6643152,,info@cyprea.com.mv / kancplan01@clubmed.com,"Maldivian Holiday Villages Ltd  (On Behalf of Club Mediterrannee S. A) (FC-0007/2012)
11 Rue De Cambrai
75957 Paris Cedex 19, France","Cyprea Pvt. Ltd. (436)
66/17 Boduthakurufaanu Magu
Male', Republic of Maldives",,Operating,Operating,Kanifinolhu,[],0,resorts.csv
32,Coco Bodu Hithi,Kaafu,K,Boduhithi,100.0,200.0,"3324658
3336611","3325542
3336622",sunland@dhivehinet.net.mv,,,reservations@cococollection.com,"Sunland Hotels Pte. Ltd.
H. Moonlit Villa
Medhuziyaaraiy Magu
Male', Republic of Maldives","Shinetree Holdings Pvt Ltd.(C-0198/1994)
Oceanic Building
No.7 Boduthakurufaanu Magu 
Male', Republic of Maldives",,Operating,Operating,Boduhithi,[],0,resorts.csv
33,Coco Palm Dhunikolhu,Baa,B,Dhunikolhu,98.0,196.0,"332 4658
 333 6611
 6600011","332 5542
 333 6622",sunland@dhivehinet.net.mv,6646600,,reservations@cococollection.com,"Sunland Hotels Pte. Ltd.
#04-01, STO Trade Center,
Orchid Magu
Male', Republic of Maldives","Sunland Hotels Pte. Ltd.
#04-01, STO Trade Center, 
Orchid Magu
Male', Republic of Maldives
sunland@dhivehinet.net.mv",,Operating,Operating,Dhunikolhu,[],0,resorts.csv
34,Cocoa Island,Kaafu,K,Makunufushi,33.0,66.0,6641818,6641919,oscar.perez@comohotels.com,6641818,,res.cocoaisland@comohotels.com,"Orchid Resorts Management Pvt. Ltd.
H. Deens Villa, Meheli Goalhi
Male', Republic of Maldives","Ahmed Fayaz Waheed
Shaamilaa Abdulla
Mohamed Niyaz Waheed
Aminath Riyaaza Waheed
Aishath Shiyaaza Waheed
Fathmath Shifaza waheed
Hawwa Hifaza Waheed
Ibrahim Shiyaz Waheed
Hassan Mafaz Waheed
mariyam Ali
M. Sosunmaage, Male'
(Legal Heirs of the late Abdulla Waheed,
 M. Sosunmaage)",,Operating,Operating,Makunufushi,[],0,resorts.csv
35,Cocogiri Island Resort,Vaavu,V,Vashugiri,40.0,80.0,7893579 / 7932230,,"vashugirimaldives@gmail.com
http://www.cocogiri.com/",+9606709998 / +9606709998,,info@cocogiri.com,"Vashugiri Pvt Ltd
M. Anchorage, 1st Floor
Shaheed Ali Hingun
Male', Republic of Maldives","Vashugiri Pvt Ltd
M. Anchorage, 1st Floor
Shaheed Ali Hingun
Male', Republic of Maldives",,Operating,Operating,Vashugiri,[],0,resorts.csv
36,Cocoon Maldives,Lhaviyani,Lh,Ookolhu Finolhu,151.0,302.0,3016888,3016800,info@cocoonmaldives.com,301 6800,,info@cocoonmaldives.com,"Cocoon Investments Pvt Ltd 
H. Sonary, 2nd Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Cocoon Investments Pvt Ltd 
H. Sonary, 2nd Floor
Boduthakurufaanu Magu
Male', Republic of Maldives",,Operating,Operating,Ookolhu Finolhu,[],0,resorts.csv
37,Como Maalifushi,Thaa,Th,Male'fushi,76.0,152.0,"6780008
7778684",6780009,"email@reefinvest.com
sawad.plc@gmail.com",6780009,6780009,benjamincruez@comohotels.com / res.maalifushi@comohotels.com,"I.V.P.L Investment Ventures Pvt. Ltd 
H. #04-01, Millennia Tower,
10 Ameer Ahmed Magu, 
Male', Republic of Maldives","I.V.P.L Investment Ventures Pvt. Ltd.
H. #04-01, Millennia Tower,
10 Ameer Ahmed Magu, 
Male', Republic of Maldives",-,Operating,Operating,Male'fushi,[],0,resorts.csv
38,Conrad Maldives Rangali Island,Alifu Dhaalu,ADh,Rangalifinolhu,176.0,352.0,3013211 / 7779779,-,"shahdy@suoodanwar.com
lamaan@suoodanwar.com",6680629 / 9309999,6680629 / 9309999,mlehi.maldives@conradhotels.com,"Maldives Property Holdings Pvt Ltd
H. #02-01, Millennia Tower, 
10 Ameer Ahmed Magu
Male', Republic of Maldives","Maldives Property Holdings Pvt Ltd
H. #02-01, Millennia Tower, 
10 Ameer Ahmed Magu
Male', Republic of Maldives","Hilton International Manage (Maldives) Pvt Ltd
H. Aage, 06th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives",Operating,Operating,Rangalifinolhu,[],0,resorts.csv
39,Constance Halaveli Resort,Alifu Alifu,AA,Halaveli,86.0,172.0,"3343613
3343614",3343615,officemgr@halaveli.com,666 7000,666 7000,resa@constancehotels.com,"The Waterfront Pvt Ltd .
2nd Floor, H.Thandiraiymaage
Roashanee Magu
Male', Republic of Maldives","Ari Atoll Services Ltd (FC)
C/O Multiconsult Limited, 
Les Cascades Building, 
Edith Cavell Street, 
Port Louis Mauritius","Constance Hotels International Services Ltd (FC)
C/o ECS Global Ltd, 3rd Floor, 
Labama House, 
Sir William Newton Street, 
Port Louis Mauritius",Operating,Operating,Halaveli,[],0,resorts.csv
40,Constance Moofushi Resort,Alifu Dhaalu,ADh,Moofushi,110.0,220.0,"333 3644
668 0517","331 5453
668 0509","ea@moofushiresort.com
www.moofushiresort.com",668 05 09,,mkt@constancehotels.com,"Moofushi Development Ltd.
10, Frere Felix de Valois Street
Port Loius, Mauritius
c/o Shah Hussain & Co.
12, Boduthakurufaanu Magu
2nd Floor (East Wing) H.Aage
Male', Rep. of Maldives","Moofushi Investments Pvt. Ltd.
Yaagoothuge, Muniyaa Magu
Male'Republic of Maldives",,Operating,Operating,Moofushi,[],0,resorts.csv
41,Cora Cora Maldives,Raa,R,Maamigili,106.0,212.0,3344911,,info@coracoraresorts.com,,,info@coracoraresorts.com,"HMM Pvt Ltd 
H. Millennia Tower 
10, Ameer Ahmed Magu 
Male', Republic of Maldives","Legal Heirs of Late Ahmed Waheed
G. Vaffushi  
Male', Republic of Maldives",,Operating,Operating,Maamigili,[],0,resorts.csv
42,Dhawa Ihuru,Kaafu,K,Ihuru,45.0,90.0,6658205,"(65)4620186
6645933",mohamed.naeem@banyantree.com,960 664 3502,960 664 3502,reservations-ihuru@angsana.com,"Maldives Angsana Pvt Ltd 
M. Gulfaamuge, 04th Floor
Fareedhee Magu
Male', Republic of Maldives","Ihuru Investments Pvt Ltd 
Ma. Rimkhaa, Ground Floor
Dhilbahaaru Goalhi,
Male', Republic of Maldives","Banyan Tree Resorts Ltd
China Insurance Group Building, 2401, 24th floor, 141 Des Voeux Road Central, Hong Kong",Operating,Operating,Ihuru,[],0,resorts.csv
43,Dheruhfinolhu by Jawakara Islands Maldives,Lhaviyani,Lh,Dheruhfinolhu,93.0,186.0,7785035,-,reservations@jawakara.com,6629999,6628888,,"Champalars Holdings Pvt Ltd 
M. Champa Building 4th Floor, 
Kandi Dhonmaniku Goalhi, 
Male', Republic of Maldives","Champalars Holdings Pvt Ltd 
M. Champa Building 4th Floor, 
Kandi Dhonmaniku Goalhi, 
Male', Republic of Maldives",-,Operating,Operating,Dheruhfinolhu,[],0,resorts.csv
44,Dhiggiri Tourist Resort,Vaavu,V,Dhiggiri,61.0,122.0,3323214,,reservations@dhiggiriresort.com,6700593,6700593,reservations@dhiggiriresort.com,Dhiggiri Investment Pte Ltd. ,,,Operating,Operating,Dhiggiri,[],0,resorts.csv
45,Dhigufaru Island Resort,Baa,B,Dhigufaruvinagandu,85.0,170.0,3302656,3330804,info@dhigufaru.com,660-2656,660-2656,reservations@dhigufaru.com,"Dhigufaru Investments Pvt Ltd 
M. Huraa
Fareedhee Magu
Male', Republic of Maldives","Dhigufaru Investments Pvt Ltd 
M. Huraa
Fareedhee Magu
Male', Republic of Maldives",,Operating,Operating,Dhigufaruvinagandu,[],0,resorts.csv
46,Diamonds Athuruga Beach & Water Villas,Alifu Dhaalu,ADh,Athurugau,72.0,144.0,3323617,3325336,info@voyages.com,6680508,6680508,es.athuruga@diamonds-resorts.comiinfo@voyagesmaldives.com,"F & P Worlds Sporting & Hotel Pvt Ltd 
M. No. 2, 
Fareedhee Magu, 
Male', Republic of Maldives","Voyages Maldives Pvt Ltd 
M. Narugis,
Chandhanee Magu,
Male', Republic of Maldives","F & P Worlds Sporting and Hotel Private
Limited 
M. No. 2, 
Fareedhee Magu
Male', Republic of Maldives",Operating,Operating,Athurugau,[],0,resorts.csv
47,Diamonds Thudufushi Beach and Water Villas,Alifu Dhaalu,ADh,Thundufushi,72.0,144.0,"332 5349
332 3617",332 5336,info@seagull.com.mv,6680583,6680583,info.thudufushi@diamonds-resorts.com,"Seagull Group Pvt. Ltd.
Narugis, 
Chaandhanee Magu
Male', Republic of Maldives","Seagull Group Pvt. Ltd.
Narugis, 
Chaandhanee Magu
Male', Republic of Maldives",-,Operating,Operating,Thundufushi,[],0,resorts.csv
48,Dreamland - The Unique Sea & Lake Resort/Spa,Baa,B,Hirundhoo,90.0,180.0,3313523,3313522,info@happymarket.com.mv,660-0101,660-0101,reservations@dreamland.com.mv,"Angiri Joint Venture Pvt Ltd 
M. Newport, 
Ameenee Magu, 
Male', Republic of Maldives","Angiri Joint Venture Pvt Ltd 
M. Newport, 
Ameenee Magu, 
Male', Republic of Maldives",-,Operating,Operating,Hirundhoo,[],0,resorts.csv
49,Drift Theluveliga Retreat,Alifu Dhaalu,ADh,Theluveliga,30.0,60.0,3347777,3347887,"info@driftretreat.com
hawwa.shakeela@theluveligaretreat.com
nabeel.hilmy@castawaymaldives.com",6680668,6680668,info@driftretreat.com,"Theluveliga Retreat Pvt Ltd 
Ma. Vahaari, 
Javaahiru Goalhi, 
Male', Republic of Maldives","Theluveliga Retreat Pvt Ltd 
Ma. Vahaari, 
Javaahiru Goalhi, 
Male', Republic of Maldives",-,Operating,Operating,Theluveliga,[],0,resorts.csv
50,Dusit Thani Maldives,Baa,B,Mudhdhoo,104.0,208.0,660 8888,660 9999,bhanwar.ratore@dusit.com,6608888,6608888,bhanwar.rathore@dusit.comresmaldives@dusit.com,"Dusit Maldives Management Pvt Ltd,  
H. #02-01, Millenia Tower, 
10 Ameer Ahmed Magu, 
Male', Republic of Maldives","Dusit Maldives Investment Pvt Ltd,
H. #02-01, Millenia Tower, 
10 Ameer Ahmed Magu, 
Male', Republic of Maldives","Dusit Worldwide Maldives Pvt Ltd,  
H. #02-01, Millenia Tower, 
10 Ameer Ahmed Magu, 
Male', Republic of Maldives",Operating,Operating,Mudhdhoo,[],0,resorts.csv
51,dusitD2,Kaafu,K,Feydhoo Finolhu,69.0,138.0,6689988,-,https://www.dusit.com/,6689988,-,resd2md@dusit.com,"Pearl Atoll Pvt Ltd 
H-Block 3.5, First Floor, Feydhoo Finolhu, Kaafu Atoll, Republic of Maldives","Pearl Atoll Pvt Ltd 
H-Block 3.5, First Floor, Feydhoo Finolhu, Kaafu Atoll, Republic of Maldives","Dusit Worldwide Maldives Pvt Ltd
H. #02-01, Millennia Tower 10, 
Ameer Ahmed Magu, 
Male', Republic of
Maldives",Operating,Operating,Feydhoo Finolhu,[],0,resorts.csv
52,Ellaidhoo Maldives By Cinnamon,Alifu Alifu,AA,Ellaidhoo,112.0,224.0,"331 3738
333 2867",332 6264,resorts@cinnamonhotels.com,666 0514,,ellaidhoo@cinnamonhotels.com,"Travel Club Pvt. Ltd. 
H. Maizaan, 2nd Floor
Sosun Magu
Male', Republic of Maldives","Ellaidhoo Investments Pvt Ltd
5A STO Aifaanu Building, 
Boduthakurufaanu Magu Male', Republic of Maldives",,Operating,Operating,Ellaidhoo,[],0,resorts.csv
